Lib,Barcode,Sample_ID,Genotype,Sampletype,Experiment,Treatment,Concentration,Timepoint
L3,FLD0239,sedi_As_100_1_1,NA,sedi,lake_sedi,As,100,1
L3,FLD0240,water_Bx_10_1_1,NA,water,lake_sedi,Bx,10,1
L3,FLD0241,soil_As_100_7_1,Bx_,soil,plant_soil,As,100,7
L3,FLD0242,soil_As_100_7_2,Bx_,soil,plant_soil,As,100,7
L3,FLD0243,soil_As_100_7_3,Bx_,soil,plant_soil,As,100,7
L3,FLD0244,sedi_Tb_0_1_1,NA,sedi,lake_sedi,Ctr,0,1
L3,FLD0245,sedi_Tb_0_1_2,NA,sedi,lake_sedi,Ctr,0,1
L3,FLD0246,sedi_Tb_0_1_3,NA,sedi,lake_sedi,Ctr,0,1
L3,FLD0247,sedi_Tb_10_7_3,NA,sedi,lake_sedi,Tb,10,7
L3,FLD0248,sedi_As_10_7_3,NA,sedi,lake_sedi,As,10,7
L3,FLD0249,soil_Tb_1000_7_4,WT,soil,plant_soil,Tb,1000,7
L3,FLD0250,soil_Tb_1000_7_5,WT,soil,plant_soil,Tb,1000,7
L3,FLD0251,soil_Tb_1000_7_6,WT,soil,plant_soil,Tb,1000,7
L3,FLD0252,soil_Bx_1000_7_4,WT,soil,plant_soil,Bx,1000,7
L3,FLD0253,soil_Bx_1000_7_5,WT,soil,plant_soil,Bx,1000,7
L3,FLD0254,soil_Bx_1000_7_6,WT,soil,plant_soil,Bx,1000,7
L3,FLD0255,sedi_Bx_1000_1_5,NA,sedi,lake_sedi,Bx,1000,1
L3,FLD0256,sedi_Tb_10_1_5,NA,sedi,lake_sedi,Tb,10,1
L3,FLD0257,soil_Bx_100_7_4,Bx_,soil,plant_soil,Bx,100,7
L3,FLD0258,soil_Bx_100_7_5,Bx_,soil,plant_soil,Bx,100,7
L3,FLD0259,soil_Bx_100_7_6,Bx_,soil,plant_soil,Bx,100,7
L3,FLD0260,soil_As_10_7_4,Bx_,soil,plant_soil,As,10,7
L3,FLD0261,soil_As_10_7_5,Bx_,soil,plant_soil,As,10,7
L3,FLD0262,soil_As_10_7_6,Bx_,soil,plant_soil,As,10,7
L3,FLD0263,sedi_Tb_10_7_4,NA,sedi,lake_sedi,Tb,10,7
L3,FLD0264,sedi_As_10_7_4,NA,sedi,lake_sedi,As,10,7
L3,FLD0265,sedi_As_100_7_4,NA,sedi,lake_sedi,As,100,7
L3,FLD0266,sedi_As_100_7_5,NA,sedi,lake_sedi,As,100,7
L3,FLD0267,sedi_As_100_7_6,NA,sedi,lake_sedi,As,100,7
L3,FLD0268,sedi_Tb_0_7_4,NA,sedi,lake_sedi,Ctr,0,7
L3,FLD0269,sedi_Tb_0_7_5,NA,sedi,lake_sedi,Ctr,0,7
L3,FLD0270,sedi_Tb_0_7_6,NA,sedi,lake_sedi,Ctr,0,7
L3,FLD0271,sedi_As_0_1_6,NA,sedi,lake_sedi,Ctr,0,1
L3,FLD0272,water_Tb_100_1_3,NA,water,lake_sedi,Tb,100,1
L3,FLD0273,feces_Tb_100_0_15_1,NA,feces,Mice,Tb,0,0
L3,FLD0274,feces_Tb_100_0_15_3,NA,feces,Mice,Tb,0,0
L3,FLD0275,feces_Tb_100_0_15_5,NA,feces,Mice,Tb,0,0
L3,FLD0276,feces_Tb_100_0_16_2,NA,feces,Mice,Tb,0,0
L3,FLD0277,feces_Bx_100_0_3_3,NA,feces,Mice,Bx,0,0
L3,FLD0278,feces_Bx_100_0_3_5,NA,feces,Mice,Bx,0,0
L3,FLD0279,feces_Bx_100_0_4_2,NA,feces,Mice,Bx,0,0
L3,FLD0280,feces_Bx_100_0_4_4,NA,feces,Mice,Bx,0,0
L3,FLD0289,feces_Bx_10_0_1_1,NA,feces,Mice,Bx,0,0
L3,FLD0290,feces_Bx_10_0_1_3,NA,feces,Mice,Bx,0,0
L3,FLD0291,feces_Bx_10_0_1_5,NA,feces,Mice,Bx,0,0
L3,FLD0292,feces_Bx_10_0_2_2,NA,feces,Mice,Bx,0,0
L3,FLD0293,feces_Bx_10_0_2_4,NA,feces,Mice,Bx,0,0
L3,FLD0294,feces_As_1000_1_11_5,NA,feces,Mice,As,1000,1
L3,FLD0295,feces_Tb_10_1_13_5,NA,feces,Mice,Tb,10,1
L3,FLD0296,feces_Bx_10_1_1_5,NA,feces,Mice,Bx,10,1
L3,FLD0297,sedi_Tb_1000_7_4,NA,sedi,lake_sedi,Tb,1000,7
L3,FLD0298,sedi_Tb_1000_7_5,NA,sedi,lake_sedi,Tb,1000,7
L3,FLD0299,sedi_Tb_1000_7_6,NA,sedi,lake_sedi,Tb,1000,7
L3,FLD0300,sedi_As_0_7_4,NA,sedi,lake_sedi,Ctr,0,7
L3,FLD0301,sedi_As_0_7_5,NA,sedi,lake_sedi,Ctr,0,7
L3,FLD0302,sedi_As_0_7_6,NA,sedi,lake_sedi,Ctr,0,7
L3,FLD0303,feces_Bx_10_1_2_5,NA,feces,Mice,Bx,10,1
L3,FLD0304,feces_Tb_1000_1_17_5,NA,feces,Mice,Tb,1000,1
L3,FLD0305,feces_As_100_0_9_2,NA,feces,Mice,As,0,0
L3,FLD0306,feces_As_100_0_9_4,NA,feces,Mice,As,0,0
L3,FLD0307,feces_As_100_0_10_1,NA,feces,Mice,As,0,0
L3,FLD0308,feces_As_100_0_10_3,NA,feces,Mice,As,0,0
L3,FLD0309,feces_As_100_0_10_5,NA,feces,Mice,As,0,0
L3,FLD0310,feces_Bx_100_1_3_3,NA,feces,Mice,Bx,100,1
L3,FLD0311,feces_Tb_1000_1_18_4,NA,feces,Mice,Tb,1000,1
L3,FLD0312,feces_Ctr_0_1_19_4,NA,feces,Mice,Ctr,0,1
L3,FLD0313,feces_Bx_100_1_3_4,NA,feces,Mice,Bx,100,1
L3,FLD0314,feces_Bx_100_1_4_1,NA,feces,Mice,Bx,100,1
L3,FLD0315,feces_Bx_100_1_4_3,NA,feces,Mice,Bx,100,1
L3,FLD0316,feces_Bx_100_1_4_5,NA,feces,Mice,Bx,100,1
L3,FLD0318,roots_As_10_1_2,Bx_,roots,plant_soil,As,10,1
L3,FLD0319,roots_As_10_1_3,Bx_,roots,plant_soil,As,10,1
L3,FLD0321,feces_Ctr_0_7_19_1,NA,feces,Mice,Ctr,0,7
L3,FLD0322,feces_Ctr_0_7_19_3,NA,feces,Mice,Ctr,0,7
L3,FLD0323,feces_Ctr_0_7_19_5,NA,feces,Mice,Ctr,0,7
L3,FLD0324,feces_Ctr_0_7_20_2,NA,feces,Mice,Ctr,0,7
L3,FLD0325,feces_Ctr_0_7_20_4,NA,feces,Mice,Ctr,0,7
L3,FLD0326,feces_Bx_10_7_2_2,NA,feces,Mice,Bx,10,7
L3,FLD0327,feces_Bx_10_7_2_4,NA,feces,Mice,Bx,10,7
L3,FLD0328,roots_Ctr_0_1_2,Bx_,roots,plant_soil,Ctr,0,1
L3,FLD0329,feces_As_100_7_9_1,NA,feces,Mice,As,100,7
L3,FLD0330,feces_As_100_7_9_3,NA,feces,Mice,As,100,7
L3,FLD0331,feces_As_100_7_9_5,NA,feces,Mice,As,100,7
L3,FLD0332,feces_As_100_7_10_2,NA,feces,Mice,As,100,7
L3,FLD0333,feces_As_100_7_10_4,NA,feces,Mice,As,100,7
L3,FLD0334,roots_Bx_100_1_1,WT,roots,plant_soil,Bx,100,1
L3,FLD0335,roots_Bx_100_1_2,WT,roots,plant_soil,Bx,100,1
L3,FLD0336,roots_Bx_100_1_3,WT,roots,plant_soil,Bx,100,1
L3,FLD0337,feces_As_10_7_7_2,NA,feces,Mice,As,10,7
L3,FLD0338,feces_As_10_7_7_4,NA,feces,Mice,As,10,7
L3,FLD0339,feces_As_10_7_8_1,NA,feces,Mice,As,10,7
L3,FLD0340,feces_As_10_7_8_3,NA,feces,Mice,As,10,7
L3,FLD0341,feces_As_10_7_8_5,NA,feces,Mice,As,10,7
L3,FLD0342,roots_Tb_1000_1_4,WT,roots,plant_soil,Tb,1000,1
L3,FLD0343,roots_Tb_1000_1_6,WT,roots,plant_soil,Tb,1000,1
L3,FLD0344,water_Bx_1000_1_6,NA,water,lake_sedi,Bx,1000,1
L3,FLD0345,feces_Tb_10_7_13_2,NA,feces,Mice,Tb,10,7
L3,FLD0346,feces_Tb_10_7_13_4,NA,feces,Mice,Tb,10,7
L3,FLD0347,feces_Tb_10_7_14_1,NA,feces,Mice,Tb,10,7
L3,FLD0348,feces_Tb_10_7_14_3,NA,feces,Mice,Tb,10,7
L3,FLD0349,feces_Tb_10_7_14_5,NA,feces,Mice,Tb,10,7
L3,FLD0350,water_As_10_1_4,NA,water,lake_sedi,As,10,1
L3,FLD0351,water_As_10_1_5,NA,water,lake_sedi,As,10,1
L3,FLD0352,water_As_10_1_6,NA,water,lake_sedi,As,10,1
L3,FLD0353,roots_As_100_1_1,WT,roots,plant_soil,As,100,1
L3,FLD0354,roots_As_100_1_2,WT,roots,plant_soil,As,100,1
L3,FLD0355,roots_As_100_1_3,WT,roots,plant_soil,As,100,1
L3,FLD0356,roots_Tb_10_7_1,WT,roots,plant_soil,Tb,10,7
L3,FLD0357,roots_Tb_10_7_2,WT,roots,plant_soil,Tb,10,7
L3,FLD0358,roots_Tb_10_7_3,WT,roots,plant_soil,Tb,10,7
L3,FLD0359,roots_As_10_7_1,WT,roots,plant_soil,As,10,7
L3,FLD0360,roots_As_10_7_2,WT,roots,plant_soil,As,10,7
L3,FLD0361,roots_Tb_100_1_1,Bx_,roots,plant_soil,Tb,100,1
L3,FLD0362,roots_Tb_100_1_2,Bx_,roots,plant_soil,Tb,100,1
L3,FLD0363,roots_Tb_100_1_3,Bx_,roots,plant_soil,Tb,100,1
L3,FLD0364,roots_Ctr_0_0_1,Bx_,roots,plant_soil,Ctr,0,0
L3,FLD0365,roots_Ctr_0_0_2,Bx_,roots,plant_soil,Ctr,0,0
L3,FLD0366,roots_Ctr_0_0_3,Bx_,roots,plant_soil,Ctr,0,0
L3,FLD0367,roots_Tb_1000_7_1,Bx_,roots,plant_soil,Tb,1000,7
L3,FLD0368,roots_Bx_10_7_3,Bx_,roots,plant_soil,Bx,10,7
L3,FLD0369,roots_Ctr_0_1_4,WT,roots,plant_soil,Ctr,0,1
L3,FLD0370,roots_Ctr_0_1_5,WT,roots,plant_soil,Ctr,0,1
L3,FLD0371,roots_Ctr_0_1_6,WT,roots,plant_soil,Ctr,0,1
L3,FLD0372,roots_Tb_100_7_1,Bx_,roots,plant_soil,Tb,100,7
L3,FLD0373,roots_Tb_100_7_2,Bx_,roots,plant_soil,Tb,100,7
L3,FLD0374,roots_Tb_100_7_3,Bx_,roots,plant_soil,Tb,100,7
L3,FLD0375,roots_As_1000_7_3,Bx_,roots,plant_soil,As,1000,7
L3,FLD0376,roots_Tb_1000_7_5,WT,roots,plant_soil,Tb,1000,7
L4,FLD0097,roots_Tb_100_7_4,WT,roots,plant_soil,Tb,100,7
L4,FLD0098,roots_Tb_100_7_5,WT,roots,plant_soil,Tb,100,7
L4,FLD0099,roots_Tb_100_7_6,WT,roots,plant_soil,Tb,100,7
L4,FLD0100,roots_Tb_100_7_8,WT,roots,plant_soil,Tb,100,7
L4,FLD0101,roots_Bx_10_7_4,WT,roots,plant_soil,Bx,10,7
L4,FLD0102,roots_Bx_10_7_5,WT,roots,plant_soil,Bx,10,7
L4,FLD0103,roots_Bx_10_7_6,WT,roots,plant_soil,Bx,10,7
L4,FLD0104,roots_Bx_10_7_7,WT,roots,plant_soil,Bx,10,7
L4,FLD0105,roots_As_100_7_4,Bx_,roots,plant_soil,As,100,7
L4,FLD0106,roots_As_100_7_5,Bx_,roots,plant_soil,As,100,7
L4,FLD0107,roots_As_100_7_6,Bx_,roots,plant_soil,As,100,7
L4,FLD0108,roots_As_100_7_7,Bx_,roots,plant_soil,As,100,7
L4,FLD0109,roots_Ctr_0_1_3,Bx_,roots,plant_soil,Ctr,0,1
L4,FLD0110,roots_Bx_10_7_4,Bx_,roots,plant_soil,Bx,10,7
L4,FLD0111,roots_Bx_10_7_5,Bx_,roots,plant_soil,Bx,10,7
L4,FLD0112,roots_Bx_10_7_6,Bx_,roots,plant_soil,Bx,10,7
L4,FLD0113,water_Tb_10_1_1,NA,water,lake_sedi,Tb,10,1
L4,FLD0114,water_Tb_10_1_2,NA,water,lake_sedi,Tb,10,1
L4,FLD0115,water_Tb_10_1_3,NA,water,lake_sedi,Tb,10,1
L4,FLD0121,water_Ctr_0_7_1,NA,water,lake_sedi,Ctr,0,7
L4,FLD0122,water_Ctr_0_7_2,NA,water,lake_sedi,Ctr,0,7
L4,FLD0123,water_Ctr_0_7_3,NA,water,lake_sedi,Ctr,0,7
L4,FLD0124,water_Tb_10_7_1,NA,water,lake_sedi,Tb,10,7
L4,FLD0125,water_Tb_10_7_2,NA,water,lake_sedi,Tb,10,7
L4,FLD0129,water_Bx_100_1_4,NA,water,lake_sedi,Bx,100,1
L4,FLD0130,water_Bx_100_1_5,NA,water,lake_sedi,Bx,100,1
L4,FLD0131,water_Bx_100_1_6,NA,water,lake_sedi,Bx,100,1
L4,FLD0132,water_Tb_0_7_5,NA,water,lake_sedi,Ctr,0,7
L4,FLD0137,water_As_0_1_4,NA,water,lake_sedi,Ctr,0,1
L4,FLD0138,water_As_0_1_5,NA,water,lake_sedi,Ctr,0,1
L4,FLD0139,water_As_0_1_6,NA,water,lake_sedi,Ctr,0,1
L4,FLD0147,roots_As_10_7_7,Bx_,roots,plant_soil,As,10,7
L4,FLD0148,water_Bx_100_7_4,NA,water,lake_sedi,Bx,100,7
L4,FLD0149,water_Bx_100_7_5,NA,water,lake_sedi,Bx,100,7
L4,FLD0150,water_Bx_100_7_6,NA,water,lake_sedi,Bx,100,7
L4,FLD0151,water_Tb_1000_7_2,NA,water,lake_sedi,Tb,1000,7
L4,FLD0162,water_Bx_1000_7_6,NA,water,lake_sedi,Bx,1000,7
L4,FLD0163,water_Tb_100_7_4,NA,water,lake_sedi,Tb,100,7
L4,FLD0164,water_Tb_100_7_5,NA,water,lake_sedi,Tb,100,7
L4,FLD0165,water_Tb_100_7_6,NA,water,lake_sedi,Tb,100,7
L4,FLD0166,water_As_0_7_4,NA,water,lake_sedi,Ctr,0,7
L4,FLD0167,water_As_0_7_5,NA,water,lake_sedi,Ctr,0,7
L4,FLD0168,water_As_0_7_6,NA,water,lake_sedi,Ctr,0,7
L4,FLD0193,soil_Tb_10_1_1,WT,soil,plant_soil,Tb,10,1
L4,FLD0194,soil_Tb_10_1_2,WT,soil,plant_soil,Tb,10,1
L4,FLD0195,soil_Tb_10_1_3,WT,soil,plant_soil,Tb,10,1
L4,FLD0196,soil_As_1000_1_1,WT,soil,plant_soil,As,1000,1
L4,FLD0197,soil_As_1000_1_2,WT,soil,plant_soil,As,1000,1
L4,FLD0198,soil_As_1000_1_3,WT,soil,plant_soil,As,1000,1
L4,FLD0199,soil_Bx_10_7_1,WT,soil,plant_soil,Bx,10,7
L4,FLD0200,soil_Tb_100_7_1,WT,soil,plant_soil,Tb,100,7
L4,FLD0201,soil_Ctr_0_1_1,Bx_,soil,plant_soil,Ctr,0,1
L4,FLD0202,soil_Ctr_0_1_2,Bx_,soil,plant_soil,Ctr,0,1
L4,FLD0203,soil_Ctr_0_1_3,Bx_,soil,plant_soil,Ctr,0,1
L4,FLD0204,soil_Bx_100_1_1,Bx_,soil,plant_soil,Bx,100,1
L4,FLD0205,soil_Bx_100_1_2,Bx_,soil,plant_soil,Bx,100,1
L4,FLD0206,soil_Bx_100_1_3,Bx_,soil,plant_soil,Bx,100,1
L4,FLD0207,soil_Tb_10_7_3,Bx_,soil,plant_soil,Tb,10,7
L4,FLD0208,soil_As_1000_7_3,Bx_,soil,plant_soil,As,1000,7
L4,FLD0209,soil_Tb_1000_1_4,Bx_,soil,plant_soil,Tb,1000,1
L4,FLD0210,soil_Tb_1000_1_5,Bx_,soil,plant_soil,Tb,1000,1
L4,FLD0211,soil_Tb_1000_1_6,Bx_,soil,plant_soil,Tb,1000,1
L4,FLD0212,soil_As_100_1_4,Bx_,soil,plant_soil,As,100,1
L4,FLD0213,soil_As_100_1_5,Bx_,soil,plant_soil,As,100,1
L4,FLD0214,soil_As_100_1_6,Bx_,soil,plant_soil,As,100,1
L4,FLD0215,soil_Tb_10_7_5,Bx_,soil,plant_soil,Tb,10,7
L4,FLD0216,soil_As_1000_7_5,Bx_,soil,plant_soil,As,1000,7
L4,FLD0217,soil_Ctr_0_0_4,WT,soil,plant_soil,Ctr,0,0
L4,FLD0218,soil_Ctr_0_0_5,WT,soil,plant_soil,Ctr,0,0
L4,FLD0219,soil_Ctr_0_0_6,WT,soil,plant_soil,Ctr,0,0
L4,FLD0220,soil_Bx_10_1_4,WT,soil,plant_soil,Bx,10,1
L4,FLD0221,soil_Bx_10_1_5,WT,soil,plant_soil,Bx,10,1
L4,FLD0222,soil_Bx_10_1_6,WT,soil,plant_soil,Bx,10,1
L4,FLD0223,soil_Tb_10_7_4,WT,soil,plant_soil,Tb,10,7
L4,FLD0224,soil_As_1000_7_4,WT,soil,plant_soil,As,1000,7
L4,FLD0225,soil_Tb_100_1_4,WT,soil,plant_soil,Tb,100,1
L4,FLD0226,soil_Tb_100_1_5,WT,soil,plant_soil,Tb,100,1
L4,FLD0227,soil_Tb_100_1_6,WT,soil,plant_soil,Tb,100,1
L4,FLD0228,soil_As_10_1_4,WT,soil,plant_soil,As,10,1
L4,FLD0229,soil_As_10_1_5,WT,soil,plant_soil,As,10,1
L4,FLD0230,soil_As_10_1_6,WT,soil,plant_soil,As,10,1
L4,FLD0231,soil_Bx_10_7_6,WT,soil,plant_soil,Bx,10,7
L4,FLD0232,soil_Tb_100_7_6,WT,soil,plant_soil,Tb,100,7
L4,FLD0233,sedi_Ctr_0_1_1,NA,sedi,lake_sedi,Ctr,0,1
L4,FLD0234,sedi_Ctr_0_1_2,NA,sedi,lake_sedi,Ctr,0,1
L4,FLD0235,sedi_Ctr_0_1_3,NA,sedi,lake_sedi,Ctr,0,1
L4,FLD0236,sedi_Tb_100_1_1,NA,sedi,lake_sedi,Tb,100,1
L4,FLD0237,sedi_Tb_100_1_2,NA,sedi,lake_sedi,Tb,100,1
L4,FLD0238,sedi_Tb_100_1_3,NA,sedi,lake_sedi,Tb,100,1
L4,FLD0239,sedi_As_100_1_2,NA,sedi,lake_sedi,As,100,1
L4,FLD0240,water_Bx_10_1_2,NA,water,lake_sedi,Bx,10,1
L4,FLD0241,water_Ctr_0_1_1,NA,water,lake_sedi,Ctr,0,1
L4,FLD0242,water_Ctr_0_1_2,NA,water,lake_sedi,Ctr,0,1
L4,FLD0243,water_Ctr_0_1_3,NA,water,lake_sedi,Ctr,0,1
L4,FLD0244,sedi_Bx_1000_7_1,NA,sedi,lake_sedi,Bx,1000,7
L4,FLD0245,sedi_Bx_1000_7_2,NA,sedi,lake_sedi,Bx,1000,7
L4,FLD0246,sedi_Bx_1000_7_3,NA,sedi,lake_sedi,Bx,1000,7
L4,FLD0247,sedi_As_0_1_1,NA,sedi,lake_sedi,Ctr,0,1
L4,FLD0248,soil_Bx_10_7_7,WT,soil,plant_soil,Bx,10,7
L4,FLD0249,soil_As_100_7_4,WT,soil,plant_soil,As,100,7
L4,FLD0250,soil_As_100_7_5,WT,soil,plant_soil,As,100,7
L4,FLD0251,soil_As_100_7_6,WT,soil,plant_soil,As,100,7
L4,FLD0252,sedi_Tb_1000_1_4,NA,sedi,lake_sedi,Tb,1000,1
L4,FLD0253,sedi_Tb_1000_1_5,NA,sedi,lake_sedi,Tb,1000,1
L4,FLD0254,sedi_Tb_1000_1_6,NA,sedi,lake_sedi,Tb,1000,1
L4,FLD0255,sedi_Bx_1000_1_6,NA,sedi,lake_sedi,Bx,1000,1
L4,FLD0256,sedi_Tb_10_1_6,NA,sedi,lake_sedi,Tb,10,1
L4,FLD0257,soil_Tb_1000_7_4,Bx_,soil,plant_soil,Tb,1000,7
L4,FLD0258,soil_Tb_1000_7_5,Bx_,soil,plant_soil,Tb,1000,7
L4,FLD0259,soil_Tb_1000_7_6,Bx_,soil,plant_soil,Tb,1000,7
L4,FLD0260,soil_Bx_1000_7_4,Bx_,soil,plant_soil,Bx,1000,7
L4,FLD0261,soil_Bx_1000_7_5,Bx_,soil,plant_soil,Bx,1000,7
L4,FLD0262,soil_Bx_1000_7_6,Bx_,soil,plant_soil,Bx,1000,7
L4,FLD0263,sedi_Tb_10_7_5,NA,sedi,lake_sedi,Tb,10,7
L4,FLD0264,sedi_As_10_7_5,NA,sedi,lake_sedi,As,10,7
L4,FLD0265,sedi_Ctr_0_7_1,NA,sedi,lake_sedi,Ctr,0,7
L4,FLD0266,sedi_Ctr_0_7_2,NA,sedi,lake_sedi,Ctr,0,7
L4,FLD0267,sedi_Ctr_0_7_3,NA,sedi,lake_sedi,Ctr,0,7
L4,FLD0268,sedi_Tb_100_7_1,NA,sedi,lake_sedi,Tb,100,7
L4,FLD0269,sedi_Tb_100_7_2,NA,sedi,lake_sedi,Tb,100,7
L4,FLD0270,sedi_Tb_100_7_3,NA,sedi,lake_sedi,Tb,100,7
L4,FLD0271,feces_Ctr_0_1_19_1,NA,feces,Mice,Ctr,0,1
L4,FLD0272,feces_Ctr_0_1_20_2,NA,feces,Mice,Ctr,0,1
L4,FLD0273,feces_Ctr_0_0_19_3,NA,feces,Mice,Ctr,0,0
L4,FLD0274,feces_Ctr_0_0_20_2,NA,feces,Mice,Ctr,0,0
L4,FLD0275,feces_Ctr_0_0_20_4,NA,feces,Mice,Ctr,0,0
L4,FLD0276,feces_As_10_1_7_5,NA,feces,Mice,As,10,1
L4,FLD0277,feces_As_10_1_8_2,NA,feces,Mice,As,10,1
L4,FLD0278,feces_As_10_1_8_4,NA,feces,Mice,As,10,1
L4,FLD0279,water_Ctr_0_1_1,NA,water,lake_sedi,Ctr,0,1
L4,FLD0280,water_Tb_100_1_1,NA,water,lake_sedi,Tb,100,1
L4,FLD0289,feces_As_1000_0_11_1,NA,feces,Mice,As,0,0
L4,FLD0290,feces_As_1000_0_11_3,NA,feces,Mice,As,0,0
L4,FLD0291,feces_As_1000_0_11_5,NA,feces,Mice,As,0,0
L4,FLD0292,feces_As_1000_0_12_2,NA,feces,Mice,As,0,0
L4,FLD0293,feces_As_1000_0_12_4,NA,feces,Mice,As,0,0
L4,FLD0294,feces_As_1000_1_12_2,NA,feces,Mice,As,1000,1
L4,FLD0295,feces_Tb_10_1_14_2,NA,feces,Mice,Tb,10,1
L4,FLD0296,feces_Bx_10_1_2_2,NA,feces,Mice,Bx,10,1
L4,FLD0297,sedi_Bx_100_7_4,NA,sedi,lake_sedi,Bx,100,7
L4,FLD0298,sedi_Bx_100_7_5,NA,sedi,lake_sedi,Bx,100,7
L4,FLD0299,sedi_Bx_100_7_6,NA,sedi,lake_sedi,Bx,100,7
L4,FLD0300,feces_As_10_0_7_2,NA,feces,Mice,As,0,0
L4,FLD0301,feces_As_10_0_7_4,NA,feces,Mice,As,0,0
L4,FLD0302,feces_As_10_0_8_1,NA,feces,Mice,As,0,0
L4,FLD0303,feces_As_10_0_8_3,NA,feces,Mice,As,0,0
L4,FLD0304,feces_As_10_0_8_5,NA,feces,Mice,As,0,0
L4,FLD0305,feces_Tb_1000_0_17_2,NA,feces,Mice,Tb,0,0
L4,FLD0306,feces_Tb_1000_0_17_4,NA,feces,Mice,Tb,0,0
L4,FLD0307,feces_Tb_1000_0_18_1,NA,feces,Mice,Tb,0,0
L4,FLD0308,feces_Tb_1000_0_18_3,NA,feces,Mice,Tb,0,0
L4,FLD0309,feces_Tb_1000_0_18_5,NA,feces,Mice,Tb,0,0
L4,FLD0310,feces_Ctr_0_1_20_1,NA,feces,Mice,Ctr,0,1
L4,FLD0311,feces_Ctr_0_1_20_3,NA,feces,Mice,Ctr,0,1
L4,FLD0312,feces_Ctr_0_1_20_5,NA,feces,Mice,Ctr,0,1
L4,FLD0313,feces_As_100_1_9_1,NA,feces,Mice,As,100,1
L4,FLD0314,feces_As_100_1_9_3,NA,feces,Mice,As,100,1
L4,FLD0315,feces_As_100_1_9_5,NA,feces,Mice,As,100,1
L4,FLD0316,feces_As_100_1_10_2,NA,feces,Mice,As,100,1
L4,FLD0317,feces_As_100_1_10_4,NA,feces,Mice,As,100,1
L4,FLD0319,roots_Tb_1000_1_2,Bx_,roots,plant_soil,Tb,1000,1
L4,FLD0321,feces_Bx_100_7_3_1,NA,feces,Mice,Bx,100,7
L4,FLD0322,feces_Bx_100_7_3_3,NA,feces,Mice,Bx,100,7
L4,FLD0323,feces_Bx_100_7_3_5,NA,feces,Mice,Bx,100,7
L4,FLD0324,feces_Bx_100_7_4_2,NA,feces,Mice,Bx,100,7
L4,FLD0325,roots_Tb_10_1_1,WT,roots,plant_soil,Tb,10,1
L4,FLD0326,roots_Tb_10_1_2,WT,roots,plant_soil,Tb,10,1
L4,FLD0327,roots_Tb_10_1_3,WT,roots,plant_soil,Tb,10,1
L4,FLD0328,water_Bx_1000_1_3,NA,water,lake_sedi,Bx,1000,1
L4,FLD0329,feces_Tb_100_7_15_1,NA,feces,Mice,Tb,100,7
L4,FLD0330,feces_Tb_100_7_15_3,NA,feces,Mice,Tb,100,7
L4,FLD0331,feces_Tb_100_7_15_5,NA,feces,Mice,Tb,100,7
L4,FLD0332,feces_Tb_100_7_16_2,NA,feces,Mice,Tb,100,7
L4,FLD0333,feces_Tb_100_7_16_4,NA,feces,Mice,Tb,100,7
L4,FLD0335,water_Tb_0_1_2,NA,water,lake_sedi,Ctr,0,1
L4,FLD0336,water_Tb_0_1_3,NA,water,lake_sedi,Ctr,0,1
L4,FLD0337,feces_Tb_1000_7_17_2,NA,feces,Mice,Tb,1000,7
L4,FLD0338,feces_Tb_1000_7_17_4,NA,feces,Mice,Tb,1000,7
L4,FLD0339,feces_Tb_1000_7_18_1,NA,feces,Mice,Tb,1000,7
L4,FLD0340,feces_Tb_1000_7_18_3,NA,feces,Mice,Tb,1000,7
L4,FLD0341,feces_Tb_1000_7_18_5,NA,feces,Mice,Tb,1000,7
L4,FLD0342,roots_As_10_1_4,Bx_,roots,plant_soil,As,10,1
L4,FLD0343,roots_As_10_1_5,Bx_,roots,plant_soil,As,10,1
L4,FLD0344,roots_As_10_1_6,Bx_,roots,plant_soil,As,10,1
L4,FLD0345,feces_Bx_1000_7_5_2,NA,feces,Mice,Bx,1000,7
L4,FLD0346,feces_Bx_1000_7_5_4,NA,feces,Mice,Bx,1000,7
L4,FLD0347,feces_Bx_1000_7_6_1,NA,feces,Mice,Bx,1000,7
L4,FLD0348,feces_Bx_1000_7_6_3,NA,feces,Mice,Bx,1000,7
L4,FLD0349,feces_Bx_1000_7_6_5,NA,feces,Mice,Bx,1000,7
L4,FLD0351,water_Tb_100_1_5,NA,water,lake_sedi,Tb,100,1
L4,FLD0352,water_Tb_100_1_6,NA,water,lake_sedi,Tb,100,1
L4,FLD0353,roots_Bx_1000_1_1,WT,roots,plant_soil,Bx,1000,1
L4,FLD0354,roots_Bx_1000_1_2,WT,roots,plant_soil,Bx,1000,1
L4,FLD0355,roots_Bx_1000_1_3,WT,roots,plant_soil,Bx,1000,1
L4,FLD0356,roots_As_1000_1_1,WT,roots,plant_soil,As,1000,1
L4,FLD0357,roots_As_1000_1_3,WT,roots,plant_soil,As,1000,1
L4,FLD0358,roots_Ctr_0_7_1,WT,roots,plant_soil,Ctr,0,7
L4,FLD0359,roots_Ctr_0_7_2,WT,roots,plant_soil,Ctr,0,7
L4,FLD0360,roots_Ctr_0_7_3,WT,roots,plant_soil,Ctr,0,7
L4,FLD0361,roots_Bx_10_1_1,Bx_,roots,plant_soil,Bx,10,1
L4,FLD0362,roots_Bx_10_1_2,Bx_,roots,plant_soil,Bx,10,1
